Bulan,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEP. BANGKA BELITUNG,KEP. RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DI YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA
September (2023),565184,1847654,1083013,866457,368132,867562,204566,1030417,188694,179288,5547181,12562445,8200960,2117509,12654730,3929704,1747551,1254525,339774,295721,277704,517769,597562,44774,440086,251645,1188982,376071,139730,110449,69657,135130,46999,107044
Oktober (2023),588020,1958158,1121805,908253,386128,858520,209482,1058924,173431,186323,5538389,12937519,8442719,2313657,13820919,4048337,1874460,1326692,345529,312246,276691,542022,560799,51068,427074,264313,1177955,365686,131858,111448,79054,126786,53875,119299
November (2023),637519,1870337,904282,762348,371185,725317,187859,894880,137343,166685,5724711,12661993,8162360,2255890,12965607,3940520,1777605,1287287,335297,356052,222334,445758,564435,42636,390052,284303,1233382,386244,125945,126041,78630,123916,57701,125457
Desember (2023),1673468,3251911,1350709,1334426,609785,1373335,680801,1544279,400977,285542,7514043,17107102,9038810,2709217,19993585,4804045,2007821,791036,769609,762490,867859,1781498,1174998,101473,707661,993915,3893499,1085338,347397,376924,284711,302181,213062,419322
Januari (2022),526417,2022964,926043,636543,302504,650971,180768,878496,122602,93349,3619251,9395919,14173348,2796450,19124849,2477846,991643,264251,498022,270324,196995,401029,310053,26920,327133,195589,930906,243982,104369,86174,41334,60617,35776,71001
Februari (2022),501651,1636066,814741,581783,255285,538004,137886,694763,99338,75268,2756201,7153882,13040775,2361262,19184354,1976399,746026,233313,279400,235449,175867,352761,256145,23240,260815,173663,803391,220654,88530,83763,35725,55228,30984,63721
Maret (2022),585675,1846809,1007630,673534,313009,691513,172874,866807,142414,105778,4586681,10560424,15805048,2570708,27190607,3158598,1216580,441171,440468,250992,210680,429164,332387,28683,347157,609507,3267252,1495127,151616,425016,49734,141231,37297,76243
April (2022),434633,1658463,838560,597000,310853,725485,160737,934561,125002,104207,3999014,7649342,6012461,1161028,12078225,2469664,1015904,266829,222175,230254,204164,325854,306368,26925,349618,691868,3768595,1585129,140420,516032,57885,152337,34020,69361
Mei (2022),935025,2896949,1655583,897026,449078,970391,293433,1412731,183098,138874,5358565,14288645,10124919,2758594,19934247,4021101,1368766,431606,281871,365089,255832,620601,483121,30226,503507,817447,4619651,1592211,189314,611768,56722,166862,38551,77379
Juni (2022),566361,1987624,988346,692293,316554,679215,173024,866263,135070,147934,5251021,10403291,6985364,2141729,14691026,3150313,1374366,347975,283506,271558,220878,432460,454319,30204,394131,597158,2492319,1050720,130595,409575,51382,140421,39956,81989
